Sentence,Sentencia,Type,Tipo
"Ali, who was two at the time, loved the story about the little girl who lived in a teeny, weeny house and played with itty, bitty toys.","Ali, que tenía dos años en ese momento, le encantaba la historia sobre la niña que vivía en una casa adolescente, Weeny y jugaba con los juguetes de itty y bitty.",Auditory,Auditivo
"Look at my dad, spiffed up in jodhpurs, ready to ride that bay mare he loved.","Mira a mi papá, se lanza en Jodhpurs, listo para montar esa yegua que amaba.",Auditory,Auditivo
Believe me it's far more difficult to know what to say to an unconscious loved one than the movies make out.,"Créeme, es mucho más difícil saber qué decirle a un ser querido inconsciente que las películas que lo hacen.",Auditory,Auditivo
"The Surrealists loved bad movies, seeing them as subversive attacks on the tyranny of narrative form.","Los surrealistas amaban las malas películas, viéndolas como ataques subversivos contra la tiranía de la forma narrativa.",Auditory,Auditivo
"He idolised prize-fighters, regarded racketeers as his friends and loved money though he had difficulty holding on to it.","Idolizó a los peleadores de premios, consideraba a los estantes como sus amigos y amaba el dinero, aunque tenía dificultades para aferrarse a él.",Auditory,Auditivo
"I'm sure my neighbours must have loved me, since the noise it made could delicately be called an absolute racket.","Estoy seguro de que mis vecinos deben haberme amado, ya que el ruido que hizo podría llamarse delicadamente una raqueta absoluta.",Auditory,Auditivo
Our lads take it very seriously and we'd have loved to win but it wasn't to be.,"Nuestros muchachos lo toman muy en serio y nos hubiera encantado ganar, pero no fue así.",Auditory,Auditivo
"I loved the Reverend's daughter, and I loved the sweet, sweet jive of rock and roll music.","Me encantó la hija del reverendo, y me encantó la dulce y dulce jive de la música rock and roll.",Auditory,Auditivo
"She loved them for their mortality, for their casual acceptance of the dark, and for their quotidian lives, so unlike her own.","Ella los amaba por su mortalidad, por su aceptación casual de la oscuridad y por sus vidas cotidianas, tan a diferencia de la suya.",Auditory,Auditivo
I loved the way that the stage just transformed itself with quivering strands of material.,Me encantó la forma en que el escenario se transformó con hilos temblorosos de material.,Auditory,Auditivo
"Jenny loved the look of the school house and began imagining her new life in its charming, quirky interior.",A Jenny le encantó el aspecto de la escuela y comenzó a imaginar su nueva vida en su encantador y peculiar interior.,Auditory,Auditivo
"I don't doubt that my husband loved me, but I also know that I was a trophy in some ways.","No dudo que mi esposo me amara, pero también sé que yo era un trofeo de alguna manera.",Auditory,Auditivo
